SightingDate,City,State,Shape,Intensity,Duration,Summary,Witnesses,Posted
1/11/15,St. Louis,MO,,,,"One witness experiences strange, and loud, rumbling sound from home.",1,"January 16, 2015"
1/11/15,Florissant,MO,,,7 & 6 minutes,Loud rumbling noise in the sky that lasted way to long but clouds were to dark to see.,1,"January 16, 2015"
1/11/15,Seattle,WA,Unknown,Low,20 minutes,Lights over SW Seattle.,1,"January 16, 2015"
1/11/15,Englewood,CO,Other,High,3 minutes,"Blue ball with red, orange and yellow glowing brightly from center.",1,"January 16, 2015"
1/11/15,Parole,MD,Rectangle,High,5 minutes,Vivid white rectangular object motionless in the sky.,1,"January 16, 2015"
1/11/15,Murfreesboro,TN,Light,High,2 minutes,The light shot up in sky and hovered while green lights were going on around it. Then moved fast left and right. Then it d started fall,1,"January 16, 2015"
1/11/15,Orlando,FL,Unknown,,~1 hour,Audio event of unknown origin.,1,"January 16, 2015"
1/11/15,Richfield,WI,Cigar,Mid,2 minutes,A hovering craft was seen over a farm field with blinking lights.  The lights had a pattern.,1,"January 16, 2015"
1/11/15,Templeville,MD,Diamond,High,5 minutes,"We saw a hovering diamond shape in the sky with bright white lights, it was very big and really low.",2,"January 16, 2015"
1/11/15,Port St. Lucie,,Oval,High,5 minutes,"UFO, Port St. Lucie, Florida, area.",1,"January 16, 2015"
1/11/15,Jakarta (Indonesia),,Light,Low,1 minute,"I make time-lapse video for Orion Nebula, but one dot from Photos look different moving.",1,"January 16, 2015"
1/10/15,Centerton,AR,Light,Low,,Dark Orange light low in sky-mid treeline.  Faded out like an ember of a fire burns out.  Stationary.,1,"January 16, 2015"
1/10/15,Tempe,AZ,Light,Low,2 seconds,Two red lights on north Tempe horizon.,1,"January 16, 2015"
1/10/15,Grand Marais,MN,Sphere,Low,20 minutes,Orange soundless low flying object.,1,"January 16, 2015"
1/10/15,Mt. Vernon,OH,Sphere,Mid,3 minutes,"Strange lights over Mt Vernon, Ohio.",1,"January 16, 2015"
1/10/15,Greenville,WI,Oval,High,5 minutes,A hovering craft for 2 min then slowly went under tree line 6 visible lights 2 red and 4 bright white ones.,1,"January 16, 2015"
1/10/15,Roselle,IL,Unknown,Mid,1 minute,3 pulsing red/orange lights heading south to north at a slow pace.,1,"January 16, 2015"
