SightingDate,City,State,Shape,Intensity,Duration,Summary,Witnesses,Posted
1/1/15,Kailua Kona,HI,Disk,High,2 minutes,UFO spotted by four on New Years Day at Makalawena Beach on the Big Island of Hawaii,1,"January 7, 2015"
1/1/15,Newington,CT,Sphere,Mid,15 seconds,Glowing green sphere drops rapidly to earth and disappears,1,"January 9, 2015"
1/1/15,Hollywood,FL,Light,High,20 minutes,"A bright red light, 2015 a year I wont forget.",1,"January 7, 2015"
1/1/15,Longwood,FL,Fireball,High,10 minutes,Yellow fireball.,1,"January 7, 2015"
1/1/15,Mebane,NC,Light,High,45-60 seconds,Bright orange light steadily traversing the sky from west to east for 45 seconds.,1,"January 7, 2015"
1/1/15,Jupiter,FL,Fireball,High,15 minutes,Five fireballs traveling in the same direction at the same speed and somewhat equidistant from each other.,1,"January 7, 2015"
1/1/15,Kakabeka Falls (Canada),ON,Triangle,Mid,8 minutes,Orange/red objects hovering in the moonlit night sky in rural Thunder Bay.,1,"January 7, 2015"
1/1/15,Mesa,AZ,Sphere,Mid,10-15 minutes,Glowing orange light moving in a random way and then disappeared.,1,"January 7, 2015"
1/1/15,Punta Gorda,FL,Fireball,High,15 seconds,Observing New Year's Eve festivities from lanai over Charlotte harbor when reddish orange fire like orb was spotted moving east to west,1,"January 7, 2015"
1/1/15,Boise,ID,Circle,Mid,20 minutes,Patterned red lights over Boise on New Year's Day 2015,1,"January 7, 2015"
1/1/15,Rutland,VT,Formation,High,10 minutes,7 fiery ufos.,1,"January 7, 2015"
1/1/15,Carmel,NY,Light,High,10 minutes,Bright red lights flying west-east over Lake Carmel.,1,"January 7, 2015"
1/1/15,San Jose,CA,Circle,High,0:00:17 seconds,Red bright light fading away appearing again  in great distances before slowly fading away. As it moves away in the hills,1,"January 7, 2015"
1/1/15,Chilliwack (Canada),BC,Circle,,30 seconds,New Years at 12:20 am my fiance and I were in Bed listening to the New Years celebration going on  around us as we live off Ryder lake,2,"January 7, 2015"
1/1/15,El Paso,TX,Light,High,6 minutes,One bright object with three flashing lights.  Then it split into two.  It happened right after midnight on new year's eve.  I obtained,1,"January 7, 2015"
1/1/15,Mandeville,LA,Sphere,Mid,20 seconds,"Spherical shape object flying silently at approximately 400 knots over Mandeville, LA, at an approximate altitude of 15,000 ft agl.",1,"January 7, 2015"
1/1/15,Seattle,WA,Fireball,High,25 minutes,1-2 orange fireball objects in the sky.,1,"January 7, 2015"
1/1/15,Odin,IL,Circle,Mid,5 minutes,They flew over at about 3 times the speed of a jet they were round in shape red in color with what looked like white cone shaped points,1,"January 7, 2015"
1/1/15,Whittier,CA,Fireball,High,2 minutes,Orange fireball brings in the new year in Southern California,1,"January 7, 2015"
1/1/15,Quincy,CA,Rectangle,Mid,15-20 minutes,Elongated reddish orange lights traveling from East to West in Northern California just after midnight New Year's 2014,1,"January 7, 2015"
1/1/15,Cape Coral,FL,Teardrop,Low,3-5 minutes,"Orange lights over Cape Coral, Florida 1-1-2015.",1,"January 7, 2015"
1/1/15,Portland,OR,Formation,Mid,3-5 minutes,"8 orangey red orbs, floating and flickering in formation in night sky over I-84 on New Year's.",1,"January 7, 2015"
1/1/15,Stayton/Salem,OR,Light,High,3-4 minutes,A slow move bright reddish orange flickering light moving slowly and changing direction before burning out.,1,"January 7, 2015"
1/1/15,Egg Harbor Twp,NJ,Formation,Mid,5 minutes,2 sets of red/orange glowing objects seen just after midnight in south Jersey.,1,"January 7, 2015"
1/1/15,Oakville,MO,Sphere,Mid,6 minutes,"15-25 orange lights or orbs traveling from West to East slowly, no sound, strung out over 6 minutes.",1,"January 7, 2015"
1/1/15,St. Peters,MO,Fireball,High,10 seconds,"Glowing sphere over Saint Peters, MO.",1,"January 7, 2015"
1/1/15,Rio Dell,CA,Fireball,High,5 minutes,Orange ball of light/fire seen on North Coast; not Identified.,1,"January 7, 2015"
1/1/15,Rockaway Beach,OR,Fireball,Mid,4 minutes,"Five small, orange floating objects seen overhead at the beach.  Erratic flight patterns.",1,"January 7, 2015"
1/1/15,Kissimmee,FL,Fireball,High,7-8 minutes,Seen 7 orange/red fireballs in central Florida on New Years,1,"January 7, 2015"
1/1/15,San Antonio,TX,Sphere,High,,Captured on video a UFO hovering over us as we watched the fireworks on New Years Eve.,2,"January 7, 2015"
1/1/15,Redlands,CA,Circle,Mid,12:30 a.m. 3:30 a.m.,"8 round orange balls coming from the south, heading towards the mountains.",1,"January 7, 2015"
1/1/15,Watsonville,CA,Triangle,Mid,15-20 minutes,I seen this triangle shaped craft flying over my city glowing a bright red light all over..no blinkers..no sound..and could stop on a d,1,"January 7, 2015"
1/1/15,La Puente,CA,Formation,Mid,10 minutes,3 orbs of light flying in slow formation.,1,"January 7, 2015"
1/1/15,Virginia Beach,VA,Disk,Mid,20 minutes,Orange glowing domed shaped disks with red lights around the bottom of each.,1,"January 7, 2015"
1/1/15,Eugene,OR,Light,High,3 minutes each,Went out to watch the fire works at midnight.  Saw the usual aerial fireworks but then saw 2 bright red lights traveling from the west,2,"January 7, 2015"
